cust_id,lookalikes
C0001,"[('C0184', 0.9968), ('C0118', 0.9823), ('C0107', 0.9713)]"
C0002,"[('C0159', 0.9753), ('C0128', 0.7789), ('C0025', 0.7023)]"
C0003,"[('C0181', 0.9811), ('C0076', 0.9793), ('C0052', 0.9685)]"
C0004,"[('C0165', 0.97), ('C0169', 0.9651), ('C0082', 0.9486)]"
C0005,"[('C0007', 0.9893), ('C0140', 0.9207), ('C0186', 0.871)]"
C0006,"[('C0126', 0.9922), ('C0137', 0.9631), ('C0187', 0.9623)]"
C0007,"[('C0005', 0.9893), ('C0140', 0.8701), ('C0186', 0.8129)]"
C0008,"[('C0046', 0.9431), ('C0024', 0.9392), ('C0194', 0.9368)]"
C0009,"[('C0061', 0.9649), ('C0062', 0.9451), ('C0167', 0.9415)]"
C0010,"[('C0062', 0.979), ('C0061', 0.946), ('C0103', 0.9417)]"
C0011,"[('C0174', 0.9735), ('C0147', 0.9484), ('C0171', 0.9335)]"
C0012,"[('C0195', 0.9713), ('C0163', 0.903), ('C0181', 0.8827)]"
C0013,"[('C0099', 0.896), ('C0108', 0.8112), ('C0143', 0.7646)]"
C0014,"[('C0119', 0.9685), ('C0089', 0.9283), ('C0172', 0.898)]"
C0015,"[('C0094', 0.962), ('C0131', 0.8197), ('C0125', 0.8131)]"
C0016,"[('C0183', 0.993), ('C0026', 0.9829), ('C0050', 0.9803)]"
C0017,"[('C0041', 0.9717), ('C0057', 0.9145), ('C0064', 0.8617)]"
C0018,"[('C0047', 0.8631), ('C0156', 0.7788), ('C0046', 0.7509)]"
C0019,"[('C0073', 0.9841), ('C0132', 0.9789), ('C0135', 0.9587)]"
C0020,"[('C0157', 0.9368), ('C0050', 0.919), ('C0035', 0.9092)]"
